nohup: ignoring input
============================================================
AGIFORMER PHASE 7: Curriculum Learning & Neuroplasticity
============================================================
Model: 31,199,792 parameters
Device: cuda
/home/ubuntu/agi-former/train_curriculum.py:74: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()
Starting Curriculum Training...

[Curriculum] Initializing Stage 1: Lexical Grounding (Dictionary)

*** CURRICULUM ALERT: Advancing to Stage 1 ***
/home/ubuntu/agi-former/train_curriculum.py:120: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(DEVICE=='cuda')):
Step 0: Loss=5.5744 | BPC=8.0422 | Alpha=0.10 | LR=3.00e-06
Step 10: Loss=5.2343 | BPC=7.5515 | Alpha=0.10 | LR=3.30e-05
Step 20: Loss=4.8015 | BPC=6.9271 | Alpha=0.10 | LR=6.30e-05
Step 30: Loss=4.3194 | BPC=6.2316 | Alpha=0.10 | LR=9.30e-05
Step 40: Loss=3.9496 | BPC=5.6981 | Alpha=0.10 | LR=1.23e-04
Step 50: Loss=3.6650 | BPC=5.2875 | Alpha=0.10 | LR=1.53e-04
Step 60: Loss=3.4377 | BPC=4.9596 | Alpha=0.10 | LR=1.83e-04
Step 70: Loss=3.3474 | BPC=4.8293 | Alpha=0.10 | LR=2.13e-04
Step 80: Loss=3.2604 | BPC=4.7038 | Alpha=0.10 | LR=2.43e-04
Step 90: Loss=3.1588 | BPC=4.5572 | Alpha=0.10 | LR=2.73e-04
Step 100: Loss=3.0575 | BPC=4.4110 | Alpha=0.10 | LR=3.00e-04
Step 110: Loss=2.8617 | BPC=4.1285 | Alpha=0.10 | LR=3.00e-04
Step 120: Loss=2.7502 | BPC=3.9677 | Alpha=0.10 | LR=3.00e-04
Step 130: Loss=2.5854 | BPC=3.7299 | Alpha=0.10 | LR=3.00e-04
Step 140: Loss=2.4642 | BPC=3.5550 | Alpha=0.10 | LR=3.00e-04
Step 150: Loss=2.4027 | BPC=3.4664 | Alpha=0.10 | LR=3.00e-04
Step 160: Loss=2.3646 | BPC=3.4114 | Alpha=0.10 | LR=3.00e-04
Step 170: Loss=2.3004 | BPC=3.3188 | Alpha=0.10 | LR=3.00e-04
Step 180: Loss=2.2167 | BPC=3.1980 | Alpha=0.10 | LR=3.00e-04
Step 190: Loss=2.2705 | BPC=3.2756 | Alpha=0.10 | LR=3.00e-04
Step 200: Loss=2.1701 | BPC=3.1308 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.6662 | BPC = 3.8464 --
Saved best_model_curriculum.pth
Step 210: Loss=2.1854 | BPC=3.1528 | Alpha=0.10 | LR=3.00e-04
Step 220: Loss=2.1912 | BPC=3.1613 | Alpha=0.10 | LR=3.00e-04
Step 230: Loss=2.1761 | BPC=3.1394 | Alpha=0.10 | LR=3.00e-04
Step 240: Loss=2.1683 | BPC=3.1281 | Alpha=0.10 | LR=3.00e-04
Step 250: Loss=2.1037 | BPC=3.0349 | Alpha=0.10 | LR=3.00e-04
Step 260: Loss=2.0416 | BPC=2.9455 | Alpha=0.10 | LR=3.00e-04
Step 270: Loss=2.0615 | BPC=2.9742 | Alpha=0.10 | LR=3.00e-04
Step 280: Loss=1.9812 | BPC=2.8582 | Alpha=0.10 | LR=3.00e-04
Step 290: Loss=2.0113 | BPC=2.9017 | Alpha=0.10 | LR=3.00e-04
Step 300: Loss=1.9858 | BPC=2.8648 | Alpha=0.10 | LR=3.00e-04
Step 310: Loss=2.0286 | BPC=2.9266 | Alpha=0.10 | LR=3.00e-04
Step 320: Loss=1.9929 | BPC=2.8751 | Alpha=0.10 | LR=3.00e-04
Step 330: Loss=1.9706 | BPC=2.8429 | Alpha=0.10 | LR=3.00e-04
Step 340: Loss=1.9894 | BPC=2.8700 | Alpha=0.10 | LR=3.00e-04
Step 350: Loss=1.9566 | BPC=2.8228 | Alpha=0.10 | LR=3.00e-04
Step 360: Loss=1.9727 | BPC=2.8460 | Alpha=0.10 | LR=3.00e-04
Step 370: Loss=1.9800 | BPC=2.8565 | Alpha=0.10 | LR=3.00e-04
Step 380: Loss=1.9966 | BPC=2.8805 | Alpha=0.10 | LR=3.00e-04
Step 390: Loss=1.9715 | BPC=2.8442 | Alpha=0.10 | LR=3.00e-04
Step 400: Loss=1.8718 | BPC=2.7005 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.5188 | BPC = 3.6338 --
Saved best_model_curriculum.pth
Step 410: Loss=1.9843 | BPC=2.8628 | Alpha=0.10 | LR=3.00e-04
Step 420: Loss=1.9068 | BPC=2.7510 | Alpha=0.10 | LR=3.00e-04
Step 430: Loss=1.8737 | BPC=2.7031 | Alpha=0.10 | LR=3.00e-04
Step 440: Loss=1.9762 | BPC=2.8511 | Alpha=0.10 | LR=3.00e-04
Step 450: Loss=2.0398 | BPC=2.9427 | Alpha=0.10 | LR=3.00e-04
Step 460: Loss=1.9427 | BPC=2.8027 | Alpha=0.10 | LR=3.00e-04
Step 470: Loss=1.9810 | BPC=2.8580 | Alpha=0.10 | LR=3.00e-04
Step 480: Loss=1.9040 | BPC=2.7468 | Alpha=0.10 | LR=3.00e-04
Step 490: Loss=1.8326 | BPC=2.6439 | Alpha=0.10 | LR=3.00e-04
Step 500: Loss=1.7786 | BPC=2.5660 | Alpha=0.10 | LR=3.00e-04
Step 510: Loss=1.8949 | BPC=2.7338 | Alpha=0.10 | LR=3.00e-04
Step 520: Loss=1.8755 | BPC=2.7058 | Alpha=0.10 | LR=3.00e-04
Step 530: Loss=1.8264 | BPC=2.6349 | Alpha=0.10 | LR=3.00e-04
Step 540: Loss=1.9264 | BPC=2.7792 | Alpha=0.10 | LR=3.00e-04
Step 550: Loss=1.8257 | BPC=2.6339 | Alpha=0.10 | LR=3.00e-04
Step 560: Loss=1.8491 | BPC=2.6676 | Alpha=0.10 | LR=3.00e-04
Step 570: Loss=1.8663 | BPC=2.6925 | Alpha=0.10 | LR=3.00e-04
Step 580: Loss=1.7916 | BPC=2.5848 | Alpha=0.10 | LR=3.00e-04
Step 590: Loss=1.7751 | BPC=2.5610 | Alpha=0.10 | LR=3.00e-04
Step 600: Loss=1.7599 | BPC=2.5390 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.4879 | BPC = 3.5893 --
Saved best_model_curriculum.pth
Step 610: Loss=1.8788 | BPC=2.7106 | Alpha=0.10 | LR=3.00e-04
Step 620: Loss=1.8817 | BPC=2.7147 | Alpha=0.10 | LR=3.00e-04
Step 630: Loss=1.6907 | BPC=2.4392 | Alpha=0.10 | LR=3.00e-04
Step 640: Loss=1.7456 | BPC=2.5184 | Alpha=0.10 | LR=3.00e-04
Step 650: Loss=1.8385 | BPC=2.6524 | Alpha=0.10 | LR=3.00e-04
Step 660: Loss=1.8109 | BPC=2.6125 | Alpha=0.10 | LR=3.00e-04
Step 670: Loss=1.7566 | BPC=2.5342 | Alpha=0.10 | LR=3.00e-04
Step 680: Loss=1.9041 | BPC=2.7470 | Alpha=0.10 | LR=3.00e-04
Step 690: Loss=1.8772 | BPC=2.7082 | Alpha=0.10 | LR=3.00e-04
Step 700: Loss=1.8597 | BPC=2.6830 | Alpha=0.10 | LR=3.00e-04
Step 710: Loss=1.6376 | BPC=2.3626 | Alpha=0.10 | LR=3.00e-04
Step 720: Loss=1.8040 | BPC=2.6026 | Alpha=0.10 | LR=3.00e-04
Step 730: Loss=1.6396 | BPC=2.3655 | Alpha=0.10 | LR=3.00e-04
Step 740: Loss=1.7617 | BPC=2.5415 | Alpha=0.10 | LR=3.00e-04
Step 750: Loss=1.5999 | BPC=2.3081 | Alpha=0.10 | LR=3.00e-04
Step 760: Loss=1.6771 | BPC=2.4195 | Alpha=0.10 | LR=3.00e-04
Step 770: Loss=1.5822 | BPC=2.2827 | Alpha=0.10 | LR=3.00e-04
Step 780: Loss=1.8514 | BPC=2.6710 | Alpha=0.10 | LR=3.00e-04
Step 790: Loss=1.5398 | BPC=2.2214 | Alpha=0.10 | LR=3.00e-04
Step 800: Loss=1.5895 | BPC=2.2931 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.4739 | BPC = 3.5691 --
Saved best_model_curriculum.pth
Step 810: Loss=1.7183 | BPC=2.4789 | Alpha=0.10 | LR=3.00e-04
Step 820: Loss=1.7471 | BPC=2.5205 | Alpha=0.10 | LR=3.00e-04
Step 830: Loss=1.7413 | BPC=2.5121 | Alpha=0.10 | LR=3.00e-04
Step 840: Loss=1.8378 | BPC=2.6514 | Alpha=0.10 | LR=3.00e-04
Step 850: Loss=1.7451 | BPC=2.5176 | Alpha=0.10 | LR=3.00e-04
Step 860: Loss=1.6541 | BPC=2.3864 | Alpha=0.10 | LR=3.00e-04
Step 870: Loss=1.7312 | BPC=2.4975 | Alpha=0.10 | LR=3.00e-04
Step 880: Loss=1.5956 | BPC=2.3019 | Alpha=0.10 | LR=3.00e-04
Step 890: Loss=1.7142 | BPC=2.4731 | Alpha=0.10 | LR=3.00e-04
Step 900: Loss=1.7734 | BPC=2.5584 | Alpha=0.10 | LR=3.00e-04
Step 910: Loss=1.6862 | BPC=2.4326 | Alpha=0.10 | LR=3.00e-04
Step 920: Loss=1.7337 | BPC=2.5012 | Alpha=0.10 | LR=3.00e-04
Step 930: Loss=1.6064 | BPC=2.3175 | Alpha=0.10 | LR=3.00e-04
Step 940: Loss=1.6570 | BPC=2.3906 | Alpha=0.10 | LR=3.00e-04
Step 950: Loss=1.5751 | BPC=2.2724 | Alpha=0.10 | LR=3.00e-04
Step 960: Loss=1.4774 | BPC=2.1314 | Alpha=0.10 | LR=3.00e-04
Step 970: Loss=1.7949 | BPC=2.5895 | Alpha=0.10 | LR=3.00e-04
Step 980: Loss=1.6915 | BPC=2.4404 | Alpha=0.10 | LR=3.00e-04
Step 990: Loss=1.7249 | BPC=2.4885 | Alpha=0.10 | LR=3.00e-04
Step 1000: Loss=1.7463 | BPC=2.5194 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.4379 | BPC = 3.5171 --
Saved best_model_curriculum.pth
Step 1010: Loss=1.6785 | BPC=2.4216 | Alpha=0.10 | LR=3.00e-04
Step 1020: Loss=1.5167 | BPC=2.1882 | Alpha=0.10 | LR=3.00e-04
Step 1030: Loss=1.6267 | BPC=2.3468 | Alpha=0.10 | LR=3.00e-04
Step 1040: Loss=1.5012 | BPC=2.1658 | Alpha=0.10 | LR=3.00e-04
Step 1050: Loss=1.7313 | BPC=2.4978 | Alpha=0.10 | LR=3.00e-04
Step 1060: Loss=1.6188 | BPC=2.3354 | Alpha=0.10 | LR=3.00e-04
Step 1070: Loss=1.7245 | BPC=2.4880 | Alpha=0.10 | LR=3.00e-04
Step 1080: Loss=1.5533 | BPC=2.2410 | Alpha=0.10 | LR=3.00e-04
Step 1090: Loss=1.5852 | BPC=2.2870 | Alpha=0.10 | LR=3.00e-04
Step 1100: Loss=1.5461 | BPC=2.2305 | Alpha=0.10 | LR=3.00e-04
Step 1110: Loss=1.7464 | BPC=2.5195 | Alpha=0.10 | LR=3.00e-04
Step 1120: Loss=1.7271 | BPC=2.4916 | Alpha=0.10 | LR=3.00e-04
Step 1130: Loss=1.6323 | BPC=2.3549 | Alpha=0.10 | LR=3.00e-04
Step 1140: Loss=1.5366 | BPC=2.2168 | Alpha=0.10 | LR=3.00e-04
Step 1150: Loss=1.6584 | BPC=2.3925 | Alpha=0.10 | LR=3.00e-04
Step 1160: Loss=1.7541 | BPC=2.5307 | Alpha=0.10 | LR=3.00e-04
Step 1170: Loss=1.7115 | BPC=2.4692 | Alpha=0.10 | LR=3.00e-04
Step 1180: Loss=1.5718 | BPC=2.2677 | Alpha=0.10 | LR=3.00e-04
Step 1190: Loss=1.7150 | BPC=2.4742 | Alpha=0.10 | LR=3.00e-04
Step 1200: Loss=1.5688 | BPC=2.2634 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.4239 | BPC = 3.4969 --
Saved best_model_curriculum.pth
Step 1210: Loss=1.7288 | BPC=2.4941 | Alpha=0.10 | LR=3.00e-04
Step 1220: Loss=1.5574 | BPC=2.2468 | Alpha=0.10 | LR=3.00e-04
Step 1230: Loss=1.6562 | BPC=2.3894 | Alpha=0.10 | LR=3.00e-04
Step 1240: Loss=1.6206 | BPC=2.3380 | Alpha=0.10 | LR=3.00e-04
Step 1250: Loss=1.5384 | BPC=2.2195 | Alpha=0.10 | LR=3.00e-04
Step 1260: Loss=1.6300 | BPC=2.3515 | Alpha=0.10 | LR=3.00e-04
Step 1270: Loss=1.5643 | BPC=2.2568 | Alpha=0.10 | LR=3.00e-04
Step 1280: Loss=1.7230 | BPC=2.4858 | Alpha=0.10 | LR=3.00e-04
Step 1290: Loss=1.5779 | BPC=2.2764 | Alpha=0.10 | LR=3.00e-04
Step 1300: Loss=1.5330 | BPC=2.2116 | Alpha=0.10 | LR=3.00e-04
Step 1310: Loss=1.5740 | BPC=2.2709 | Alpha=0.10 | LR=3.00e-04
Step 1320: Loss=1.6006 | BPC=2.3091 | Alpha=0.10 | LR=3.00e-04
Step 1330: Loss=1.6989 | BPC=2.4510 | Alpha=0.10 | LR=3.00e-04
Step 1340: Loss=1.6460 | BPC=2.3747 | Alpha=0.10 | LR=3.00e-04
Step 1350: Loss=1.5561 | BPC=2.2449 | Alpha=0.10 | LR=3.00e-04
Step 1360: Loss=1.6426 | BPC=2.3698 | Alpha=0.10 | LR=3.00e-04
Step 1370: Loss=1.5541 | BPC=2.2421 | Alpha=0.10 | LR=3.00e-04
Step 1380: Loss=1.4258 | BPC=2.0569 | Alpha=0.10 | LR=3.00e-04
Step 1390: Loss=1.6640 | BPC=2.4006 | Alpha=0.10 | LR=3.00e-04
Step 1400: Loss=1.6115 | BPC=2.3249 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.3931 | BPC = 3.4525 --
Saved best_model_curriculum.pth
Step 1410: Loss=1.5150 | BPC=2.1856 | Alpha=0.10 | LR=3.00e-04
Step 1420: Loss=1.6955 | BPC=2.4462 | Alpha=0.10 | LR=3.00e-04
Step 1430: Loss=1.3847 | BPC=1.9977 | Alpha=0.10 | LR=3.00e-04
Step 1440: Loss=1.6582 | BPC=2.3923 | Alpha=0.10 | LR=3.00e-04
Step 1450: Loss=1.4404 | BPC=2.0781 | Alpha=0.10 | LR=3.00e-04
Step 1460: Loss=1.4754 | BPC=2.1285 | Alpha=0.10 | LR=3.00e-04
Step 1470: Loss=1.1946 | BPC=1.7234 | Alpha=0.10 | LR=3.00e-04
Step 1480: Loss=1.5516 | BPC=2.2384 | Alpha=0.10 | LR=3.00e-04
Step 1490: Loss=1.4860 | BPC=2.1438 | Alpha=0.10 | LR=3.00e-04
Step 1500: Loss=1.5255 | BPC=2.2009 | Alpha=0.10 | LR=3.00e-04
Step 1510: Loss=1.4994 | BPC=2.1632 | Alpha=0.10 | LR=3.00e-04
Step 1520: Loss=1.3473 | BPC=1.9438 | Alpha=0.10 | LR=3.00e-04
Step 1530: Loss=1.5539 | BPC=2.2418 | Alpha=0.10 | LR=3.00e-04
Step 1540: Loss=1.5260 | BPC=2.2016 | Alpha=0.10 | LR=3.00e-04
Step 1550: Loss=1.3559 | BPC=1.9562 | Alpha=0.10 | LR=3.00e-04
Step 1560: Loss=1.3144 | BPC=1.8963 | Alpha=0.10 | LR=3.00e-04
Step 1570: Loss=1.5562 | BPC=2.2452 | Alpha=0.10 | LR=3.00e-04
Step 1580: Loss=1.3100 | BPC=1.8899 | Alpha=0.10 | LR=3.00e-04
Step 1590: Loss=1.4818 | BPC=2.1378 | Alpha=0.10 | LR=3.00e-04
Step 1600: Loss=1.3147 | BPC=1.8968 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.3884 | BPC = 3.4457 --
Saved best_model_curriculum.pth
Step 1610: Loss=1.3677 | BPC=1.9731 | Alpha=0.10 | LR=3.00e-04
Step 1620: Loss=1.3338 | BPC=1.9242 | Alpha=0.10 | LR=3.00e-04
Step 1630: Loss=1.5178 | BPC=2.1897 | Alpha=0.10 | LR=3.00e-04
Step 1640: Loss=1.5047 | BPC=2.1708 | Alpha=0.10 | LR=3.00e-04
Step 1650: Loss=1.3923 | BPC=2.0086 | Alpha=0.10 | LR=3.00e-04
Step 1660: Loss=1.3736 | BPC=1.9817 | Alpha=0.10 | LR=3.00e-04
Step 1670: Loss=1.2880 | BPC=1.8582 | Alpha=0.10 | LR=3.00e-04
Step 1680: Loss=1.1966 | BPC=1.7263 | Alpha=0.10 | LR=3.00e-04
Step 1690: Loss=1.4758 | BPC=2.1291 | Alpha=0.10 | LR=3.00e-04
Step 1700: Loss=1.5382 | BPC=2.2191 | Alpha=0.10 | LR=3.00e-04
